dataset.id,melody.id,note.id,melody.name,distance,canseekey,canseedoor,agentbehindleft,agentbehindright,agentinfrontright,agentinfrontleft,agentleft,agentright,agentbehind,agentinfront,doorquad,keyquad,agentquad,agenty,agentx,orientation,action,vertint12,articulation,comma,voice,ornament,dyn,phrase,bioi,deltast,accidental,mpitch,cpitch,barlength,pulses,tempo,mode,keysig,dur,onset,action.order.ltm.action,action.order.stm.action,action.weight.ltm,action.weight.stm,action.weight.ltm.action,action.weight.stm.action,action.probability,action.information.content,action.entropy,action.0,action.1,action.2,action.3,action.4,action.5,probability,information.content,entropy,information.gain,
33,2,3,"m1",3,1,1,2,1,1,2,2,5,2,1,4,3,3,6,3,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,48,1,0,0.8877955,0.11220449,1.0,1.0,0.5628591,0.82915425,1.8533177,0.0014843348,0.5628591,0.13304953,0.13941441,0.088262394,0.074930206,0.5628591,0.82915425,1.8533177,0.30877408,
33,2,4,"m1",0,1,0,2,2,1,1,1,1,2,5,4,3,3,6,3,2,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,72,1,1,0.5835856,0.41641432,1.0,1.0,0.10565852,3.242519,1.709845,0.008361249,0.635032,0.1024623,0.10565852,0.07823497,0.070250854,0.10565852,3.242519,1.709845,0.026560823,
33,2,5,"m1",5,0,0,2,2,1,1,1,1,2,1,4,0,3,6,3,2,4,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,96,1,0,0.9483316,0.051668487,1.0,1.0,0.09565517,3.3860133,1.6175584,0.0034498733,0.65196574,0.040033765,0.088378526,0.09565517,0.12051699,0.09565517,3.3860133,1.6175584,0.07531826,
33,2,6,"m1",3,0,1,2,1,1,2,2,1,2,1,4,0,3,6,3,1,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,120,1,0,0.95880896,0.041191027,1.0,1.0,0.34012216,1.5558751,1.6116593,0.0013953571,0.27592376,0.34012216,0.37980127,0.0013953571,0.001362119,0.34012216,1.5558751,1.6116593,1.8666353,
33,2,7,"m1",2,0,1,2,1,1,4,2,1,2,1,4,0,4,6,4,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,144,1,0,0.9719315,0.028068405,1.0,1.0,0.65714675,0.6057125,1.5802121,0.0035589125,0.65714675,0.06254246,0.036499884,0.09830298,0.141949,0.65714675,0.6057125,1.5802121,1.7494003,
33,2,8,"m1",1,0,1,2,1,1,2,4,1,2,1,4,0,4,6,5,1,1,NA,0,0,1,0,0,-1,24,0,0,40,69,96,4,NA,0,2,24,168,1,1,0.9003611,0.099638864,1.0,1.0,0.5587084,0.8398325,1.8564259,0.001244722,0.5587084,0.13293654,0.14762142,0.08767696,0.07181188,0.5587084,0.8398325,1.8564259,0.17339873,
33,2,9,"m1",0,0,1,1,1,2,2,1,1,1,4,4,0,4,6,5,0,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,192,1,1,0.8495172,0.15048277,1.0,1.0,0.12827289,2.9627118,1.8479434,0.0015635495,0.5625809,0.12827289,0.15057527,0.08661308,0.07039435,0.12827289,2.9627118,1.8479434,2.6233774e-4,
33,2,10,"m1",0,0,1,1,1,2,2,1,1,1,4,4,0,4,6,5,0,5,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,216,1,1,0.951602,0.04839799,1.0,1.0,0.13849455,2.852099,1.5782259,0.0037897138,0.65943104,0.063606,0.03701995,0.09765879,0.13849455,0.13849455,2.852099,1.5782259,0.21994773,
33,3,1,"m2",4,0,1,1,2,2,1,1,2,1,1,1,4,3,5,1,2,0,NA,0,0,1,0,0,1,0,0,0,40,69,96,4,NA,0,2,24,0,0,0,0.83154035,0.16845964,1.0,1.0,0.086012214,3.5393145,2.226915,0.086012214,0.45877314,0.13314742,0.15004285,0.086012214,0.086012214,0.086012214,3.5393145,2.226915,NA,
33,3,2,"m2",5,1,1,2,2,1,1,1,1,2,1,1,4,3,5,1,1,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,24,1,0,0.8906207,0.10937929,1.0,1.0,0.2046879,2.2885022,1.7565477,0.004314875,0.41674864,0.2046879,0.3354984,0.035046116,0.0037041546,0.2046879,2.2885022,1.7565477,0.6797969,
33,3,3,"m2",4,1,1,1,1,1,1,1,1,1,1,1,4,3,5,2,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,48,1,0,0.9599925,0.04000754,1.0,1.0,0.65216726,0.61668605,1.5982704,0.003913007,0.65216726,0.06505179,0.036124513,0.10480657,0.13793688,0.65216726,0.61668605,1.5982704,1.0738628,
33,3,4,"m2",3,1,0,1,1,1,1,1,1,1,1,1,4,3,5,3,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,72,1,0,0.9096101,0.0903899,1.0,1.0,0.5545148,0.85070205,1.8686495,0.0012722348,0.5545148,0.14183526,0.1395077,0.08765211,0.0752179,0.5545148,0.85070205,1.8686495,0.16309035,
33,3,5,"m2",2,1,0,1,1,1,5,1,1,1,1,1,4,4,5,4,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,96,1,1,0.7738911,0.22610886,1.0,1.0,0.5799302,0.7860488,1.8165216,0.0025697516,0.5799302,0.14178477,0.121748365,0.081986494,0.07198046,0.5799302,0.7860488,1.8165216,0.0035605445,
33,3,6,"m2",1,1,0,1,1,1,1,5,1,1,1,1,4,4,5,5,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,120,1,1,0.2833258,0.71667427,1.0,1.0,0.7002403,0.51407796,1.5324105,0.025408262,0.7002403,0.11031557,0.060975365,0.052757777,0.050302714,0.7002403,0.51407796,1.5324105,0.095928796,
33,3,7,"m2",0,1,0,1,1,1,1,1,1,1,5,1,4,4,5,5,0,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,144,1,1,0.112504,0.887496,1.0,1.0,0.08216071,3.6054075,1.3314888,0.045862574,0.76015323,0.08216071,0.038954977,0.036778927,0.036089547,0.08216071,3.6054075,1.3314888,0.033286043,
33,3,8,"m2",1,0,0,1,1,1,1,1,1,1,1,1,0,4,5,5,0,4,NA,0,0,1,0,0,-1,24,0,0,40,69,96,4,NA,0,2,24,168,1,1,0.87788296,0.12211702,1.0,1.0,0.0949431,3.3967931,1.5650345,0.005180823,0.6698909,0.07208497,0.03584622,0.0949431,0.12205402,0.0949431,3.3967931,1.5650345,0.18933225,
33,3,9,"m2",4,0,1,1,1,1,1,1,1,1,1,1,0,4,5,5,3,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,192,1,0,0.9521659,0.047834117,1.0,1.0,0.35821673,1.4810953,1.6154981,0.0014418209,0.27934042,0.35821673,0.3581659,0.0014418209,0.0013933368,0.35821673,1.4810953,1.6154981,1.9302784,
