dataset.id,melody.id,note.id,melody.name,distance,canseekey,canseedoor,agentbehindleft,agentbehindright,agentinfrontright,agentinfrontleft,agentleft,agentright,agentbehind,agentinfront,doorquad,keyquad,agentquad,agenty,agentx,orientation,action,vertint12,articulation,comma,voice,ornament,dyn,phrase,bioi,deltast,accidental,mpitch,cpitch,barlength,pulses,tempo,mode,keysig,dur,onset,action.order.ltm.action,action.order.stm.action,action.weight.ltm,action.weight.stm,action.weight.ltm.action,action.weight.stm.action,action.probability,action.information.content,action.entropy,action.0,action.1,action.2,action.3,action.4,action.5,probability,information.content,entropy,information.gain,
33,859,2,"m858",2,0,0,1,1,1,1,1,1,1,1,2,0,4,4,5,0,4,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,24,1,0,0.8967836,0.103216395,1.0,1.0,0.033105683,4.916777,1.7372715,0.0038404292,0.4268769,0.19921146,0.33364007,0.033105683,0.0033254079,0.033105683,4.916777,1.7372715,0.70414996,
33,859,3,"m858",1,0,1,1,1,1,1,1,1,1,1,2,0,4,4,5,1,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,48,2,0,0.9472544,0.052745633,1.0,1.0,0.1871351,2.4178479,1.6850218,0.031499535,0.6172439,0.102739125,0.1871351,0.031499535,0.029882824,0.1871351,2.4178479,1.6850218,0.22171098,
33,859,4,"m858",0,0,1,1,1,4,2,1,1,1,2,2,0,4,4,6,1,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,72,3,0,0.99872416,0.0012758796,1.0,1.0,0.762841,0.39054573,0.96792555,1.3894288e-4,0.762841,0.0020043515,0.20177032,0.0053106314,0.027934866,0.762841,0.39054573,0.96792555,0.70488805,
33,859,5,"m858",3,0,1,2,1,1,4,2,1,2,1,2,0,4,4,6,2,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,96,4,0,0.9956193,0.004380673,1.0,1.0,0.33473977,1.578888,1.1793697,2.3037096e-4,0.625632,0.0037442504,0.33473977,0.005904768,0.02974881,0.33473977,1.578888,1.1793697,0.065609954,
33,859,6,"m858",2,0,1,2,1,1,2,4,1,2,1,2,0,2,3,6,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,120,5,1,0.9999666,3.3394233e-5,0.99999994,1.0,0.91292876,0.13142581,0.540004,7.106522e-4,0.91292876,0.0016257655,0.0020982698,0.036096394,0.046515945,0.91292876,0.13142581,0.540004,2.0779617,
33,859,7,"m858",0,0,1,1,1,2,2,1,1,1,4,2,0,2,3,6,1,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,144,6,1,0.9938654,0.0061346567,0.99999994,1.0,0.12777527,2.9683194,1.1264522,0.006375109,0.78040004,0.12777527,0.015018683,0.020255301,0.05017556,0.12777527,2.9683194,1.1264522,0.21314749,
33,859,8,"m858",0,0,1,1,1,2,2,1,1,1,4,2,0,2,3,6,1,5,NA,0,0,1,0,0,-1,24,0,0,40,69,96,4,NA,0,2,24,168,5,0,0.9989944,0.0010056624,1.0,1.0,0.7903777,0.3393859,0.95845485,0.0011349082,0.15347464,0.0035015559,0.0026684413,0.048842724,0.7903777,0.7903777,0.3393859,0.95845485,2.3220875,
33,860,1,"m859",5,1,1,2,2,1,1,1,1,2,1,1,1,2,1,4,0,0,NA,0,0,1,0,0,1,0,0,0,40,69,96,4,NA,0,2,24,0,0,0,0.8321411,0.16785893,1.0,1.0,0.0858617,3.5418413,2.2254622,0.0858617,0.45942676,0.13294701,0.15004116,0.0858617,0.0858617,0.0858617,3.5418413,2.2254622,NA,
33,860,2,"m859",1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,4,3,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,24,1,0,0.8940739,0.10592606,1.0,1.0,0.19807808,2.3358588,1.7460855,0.0038986572,0.42375055,0.19807808,0.33538187,0.035527647,0.0033631853,0.19807808,2.3358588,1.7460855,0.69665164,
33,860,3,"m859",0,1,1,2,1,1,2,2,1,2,5,1,1,1,1,3,3,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,48,2,0,0.95105445,0.048945494,1.0,1.0,0.6126275,0.70691794,1.6466715,5.3671363e-4,0.6126275,0.13030681,0.15738346,0.07794489,0.021200573,0.6126275,0.70691794,1.6466715,0.22234686,
33,860,4,"m859",2,0,1,2,1,1,2,2,1,2,1,1,0,1,1,3,3,4,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,72,3,0,0.9812333,0.0187667,1.0,1.0,0.100699246,3.311875,1.4449263,0.0021618912,0.69688505,0.11145153,0.06997284,0.100699246,0.0188295,0.100699246,3.311875,1.4449263,0.07328268,
33,860,5,"m859",1,0,1,2,1,1,2,2,1,2,1,1,0,1,1,2,3,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,96,4,0,0.8843323,0.11566769,1.0,1.0,0.4529978,1.1424241,2.0242956,0.048616003,0.4529978,0.11648377,0.2872837,0.048616003,0.046002664,0.4529978,1.1424241,2.0242956,0.3551922,
33,860,6,"m859",0,0,1,2,1,2,2,2,1,2,2,1,0,1,1,1,3,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,120,5,1,0.8888168,0.1111833,1.0,1.0,0.50671524,0.9807529,1.8380395,7.165e-4,0.50671524,0.120766036,0.26222736,0.057673242,0.051901564,0.50671524,0.9807529,1.8380395,0.23432499,
33,860,7,"m859",5,0,1,2,2,1,2,2,1,2,1,1,0,1,1,1,0,3,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,144,6,1,0.82429856,0.17570147,1.0,1.0,0.22578083,2.147005,1.9361042,0.001359162,0.47496995,0.17759068,0.22578083,0.050164387,0.07013492,0.22578083,2.147005,1.9361042,0.025123302,
33,860,8,"m859",4,0,1,2,1,1,4,2,1,2,1,1,0,1,2,1,0,1,NA,0,0,1,0,0,-1,24,0,0,40,69,96,4,NA,0,2,24,168,5,0,0.99998266,1.7370243e-5,1.0,1.0,0.9163298,0.12606116,0.5315662,0.001120739,0.9163298,0.0025669627,0.0033114685,0.026896257,0.049756125,0.9163298,0.12606116,0.5315662,2.090735,
33,860,9,"m859",3,0,1,2,1,1,2,4,1,2,1,1,0,1,3,1,0,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,192,8,1,0.9827131,0.017286852,1.0,1.0,0.70473,0.50485754,1.4079973,0.0039952826,0.70473,0.097039536,0.013218061,0.059099488,0.12191776,0.70473,0.50485754,1.4079973,0.23010227,
33,860,10,"m859",0,0,1,1,1,2,2,1,1,1,4,1,0,1,3,1,3,2,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,216,8,2,0.98892856,0.011071472,1.0,1.0,0.06917241,3.8536594,1.233568,0.0020504608,0.75218976,0.06917241,0.00444436,0.0703676,0.10177541,0.06917241,3.8536594,1.233568,0.022641234,
33,860,11,"m859",0,0,1,1,1,2,2,1,1,1,4,1,0,1,3,1,3,5,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,240,7,1,0.99389446,0.0061056134,1.0,1.0,0.74134016,0.4317924,1.1332318,0.0014974105,0.15881026,0.0046054726,0.0035076733,0.090239,0.74134016,0.74134016,0.4317924,1.1332318,1.6437731,
33,861,1,"m860",4,1,1,1,1,1,1,1,1,1,1,2,2,3,5,2,2,0,NA,0,0,1,0,0,1,0,0,0,40,69,96,4,NA,0,2,24,0,0,0,0.83205974,0.16794024,1.0,1.0,0.085883915,3.5414681,2.2256615,0.085883915,0.45934185,0.13299601,0.15001042,0.085883915,0.085883915,0.085883915,3.5414681,2.2256615,NA,
33,861,2,"m860",3,1,1,1,1,1,1,1,1,1,1,2,2,3,4,2,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,24,1,0,0.89379203,0.10620795,0.99999994,1.0,0.4233094,1.2402157,1.7468191,0.0039020977,0.4233094,0.1988459,0.3350591,0.03551876,0.0033648417,0.4233094,1.2402157,1.7468191,0.6968976,
33,861,3,"m860",2,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,2,1,NA,0,0,1,0,0,0,24,0,0,40,69,96,4,NA,0,2,24,48,2,0,0.97983867,0.020161321,1.0,1.0,0.69738793,0.51996666,1.4009414,9.510426e-5,0.69738793,0.10239162,0.11722336,0.07423816,0.00866384,0.69738793,0.51996666,1.4009414,0.37172556,
